image_filename,final_country,final_city,final_place,date,description,transcription,reason,landmarks_identified,historical_record_uuid,,,,,,,,,,,,,
1e0e09bb-c1fd-5fb2-a1ee-9756200338c8.jpg,Hungary,Pécs,Zrínyi Miklós magyar királyi reáliskolai nevelőintézet,1910s,"A vintage black‑and‑white postcard showing a large, ornate, multi‑storey historicist building with a central entrance and two corner pavilions. In front of the building is a formal garden with paths, lawns, and trees, enclosed by a wrought‑iron fence and stone pillars along a broad street. The caption at the bottom identifies the city as Pécs and names the institution as the 'Zrínyi Miklós' royal secondary school boarding institute. The reverse side is an unused divided‑back postcard with printed address lines, the note 'Minden jog fenntartva.' and the publisher's imprint 'Barasits Budapest'.","Pécs.
""Zrínyi Miklós"" m. kir. reáliskolai nevelőintézet
36. �?Minden jog fenntartva.
Barasits
Budapest","The front caption and the back text are in Hungarian and mention Pécs and the Hungarian royal ('m. kir.') Zrínyi Miklós secondary school boarding institute, indicating Hungary as origin and Pécs as the city. The style of the large school building and the monochrome print, plus the divided‑back layout and publisher Barasits Budapest, are typical of early 20th‑century Hungarian postcards, likely around the 1910s. The building is an educational/government‑related institution rather than a religious or residential structure.",,46b79b8c-9dc5-587b-924b-022007a09ebc,,,,,,,,,,,,,
1e17dad4-03df-57fa-906b-758b834d7b9e.jpg,Germany,Pulsnitz,"Marktplatz, Ernst-Rietschel-Denkmal",1910s,"Black‑and‑white view of a cobblestoned town square with a central statue of a man on a pedestal surrounded by a cast‑iron fence, a fountain to the left, and rows of multi‑story gabled buildings with shops at street level. In the background stands a tall church tower with an onion‑shaped spire and clock. Shop signs on the facades are in German, indicating various businesses around the square.","Metzgerei von Oswin Hantzsch.
Klemperer �??
Putz-u. Damenconfection
WOLF.","The scene clearly shows a historic European town square (Marktplatz) with late�?9th/early�?0th‑century architecture, cobblestones, and a central statue. All visible signage is in German (e.g., 'Metzgerei', 'Putz-u. Damenconfection', 'Wolf.'), pointing to a German‑speaking town, most plausibly in Germany. The fashion of the statue, shopfront typography, and absence of motor vehicles suggest the early 20th century, around the 1910s. The exact town and monument are not uniquely identifiable from the image alone, but it is typical of a German Marktplatz with a church, shops, and civic statue.",,b2b7e9fb-516f-5b8e-add2-ff314a50848e,,,,,,,,,,,,,
1e19b3ed-842d-57af-979b-c4b456d0d415.jpg,Germany,Berlin,,1900s,"Vintage photographic postcard with a studio portrait of a woman in a dark dress with a white bow at the waist, looking left. The front bears the printed caption ""TILLA DURIEUX."" and a small photographer credit ""Aura Hertwig, Phot."" The reverse is a multilingual universal-postal-style back headed ""Postkarte �?Carte postale"" with dotted address lines and no message divider.","TILLA DURIEUX.
Aura Hertwig, Phot.
Postkarte �?Carte postale
Weltpostverein �?Union postale universelle
Dopisnice �?Correspondenzkarte �?Levelező-Lap
Karta korespondencyjna �?Korespondenčni listek
Briefkaart �?Cartolina postale �?Postcard �?Brefkort
Tarjeta postal �?Открытое письмо �?Bilhete postal
2019.A.63a","The back uses the German heading “Postkarte�?with the UPU multilingual list common on early 20th‑century German cards, and the front has a German-language photographer credit (“Phot.�?. The printed name is Germanic and associated with the German-speaking world. The undivided-style address back suggests an early 1900s issue, likely from Berlin where many portrait postcards were produced.",,84c92af7-f213-5849-8ded-0b92b11657c7,,,,,,,,,,,,,
1e19c7ce-3e4a-57ca-893b-7ecafe8fbb4a.jpg,Spain,Vigo,El Muelle de Vigo,1900s,"The postcard features a historical port scene with ox-drawn carts transporting barrels and goods. Several people are seen working near the water, with steamships and masts docked nearby. The background reveals hills or low mountains, and industrial activity is present. The postcard contains printed text in Spanish.","VIGO
EL MUELLE
Hauser y Menet.—Madrid
Biblioteca de Galicia","The postcard explicitly mentions 'VIGO' and 'EL MUELLE,' indicating the port of Vigo in Spain. It is published by Hauser y Menet, a well-known Spanish postcard publisher from Madrid, active primarily in the early 20th century. The presence of ox carts, steamships, and the postcard style suggests it dates from the 1900s.",,e8b0338e-d9f4-5d90-978d-49c8d6ea23bd,,,,,,,,,,,,,
1e1d3489-fc6b-5cbe-aecb-a33db0657372.jpg,Germany,Titisee-Neustadt,Titisee,1930s,"Black-and-white postcard showing an elevated panoramic view over a lake surrounded by dense forest and scattered villages in a mountainous region. Snow-capped peaks rise in the background. At the bottom-left corner there is a caption indicating the location and altitude, and a small circular printer's mark with the number 233 appears at the bottom-right.",Titisee (Schwarzwald) 860 m ü. M.,"The caption clearly names ‘Titisee (Schwarzwald)�? a well-known lake in the Black Forest (Schwarzwald) region of Germany, and gives the altitude in German (‘m ü. M.�?. Titisee is part of the municipality Titisee-Neustadt in Baden-Württemberg. The monochrome print, border style, typography, and publisher’s mark suggest an interwar-era tourist postcard, most typical of the 1930s.",,fa0d3228-8d2d-5449-b236-0db783a4298f,,,,,,,,,,,,,
1e2468e6-a438-5b9c-8de0-58387ac77072.jpg,Finland,Rauma,Rauma harbor,1900s,Sepia-toned postcard showing a harbor scene with several large sailing ships moored at a wooden quay piled with timber. A man is sitting among the lumber in the foreground. In the distance low buildings line the waterfront. In the upper right corner there is printed text in two languages identifying the location as the harbor of Rauma/Raumo.,"RAUMA. Satama.
RAUMO. Hamnen.","The front layout and printed caption style are typical of early 20th‑century postcards. ‘RAUMA�?and ‘RAUMO�?refer to the Finnish city Rauma; ‘Satama�?is Finnish for harbor and ‘Hamnen�?is Swedish for harbor, matching Finland’s bilingual context. The wooden sailing ships and timber trade scenery align with Rauma’s historical harbor.",,33ca8b45-fd18-5698-99e9-bb113b9e5034,,,,,,,,,,,,,
1e259a86-4a56-5308-aa2f-d7ff20ca111d.jpg,Italy,Trento,Castello del Buonconsiglio,1910s,"Colorized vintage postcard view of a broad square or street bordered by multi‑storey buildings on the right and a fortified complex with round towers on the left. Mountains rise in the background under a pastel evening or morning sky. There are a few pedestrians and horse‑drawn carts in the open space, plus tall slender trees and a small red kiosk near the center-right. The word ""Trento"" is printed in red at the top left, with a handwritten repetition above it.",Trento.,"The printed caption clearly reads “Trento�? indicating the city. The large fortified structure with cylindrical towers on the left matches the appearance and location of Castello del Buonconsiglio in Trento, a well-known historic castle. The surrounding architecture, mountains, and open piazza correspond to this area of the city in the early 20th century. The hand‑tinted color style, dress of pedestrians, and presence of horse‑drawn carts suggest a postcard produced in the 1910s era.","Castello del Buonconsiglio (https://www.wikidata.org/wiki/Q247451), Piazza Fiera (https://www.wikidata.org/wiki/Q67012709)",198e5ad9-8f88-5165-bddc-70e5107ffce2,,,,,,,,,,,,,
1e275b57-0ddd-591f-a412-4262c3be89e7.jpg,Germany,Potsdam,Nikolairuine (Ruins of St. Nicholas Church),1950s,"Black‑and‑white image showing the interior of a ruined stone and brick church whose roof has collapsed, leaving high Gothic arches and broken window tracery. The floor of the ruined nave is densely filled with graves and headstones, many with crosses and floral plots, forming a churchyard cemetery within the old walls. At the far end is an apse-like wall niche with a large crucifix and other religious monuments. Outside the broken window on the right a tall industrial chimney is visible on the horizon. There is no visible printed caption or text typical of a modern postcard front.",,"The scene shows a ruined Gothic/neo‑Gothic church interior with a cemetery inside the shell, typical of post‑WWII Germany. The masonry style, pointed arches, and tracery resemble North German brick Gothic. The tall factory chimney in the background suggests an urban/industrial setting. Among well‑known German war‑damaged churches, the overall composition and level of destruction strongly recall postcard views of the Kaiser Wilhelm Memorial Church in Berlin during the 1950s before major reconstruction, when the ruined nave stood roofless and served partly as a memorial space. The black‑and‑white photographic style and subject fit mid�?0th‑century European postcards documenting wartime ruins.",,b5bdf1fd-a22d-5e52-bf27-8e84c65ab6d4,,,,,,,,,,,,,
1e2f1e03-a877-5e10-95e2-2275250965b3.jpg,Netherlands,Nijmegen,Houtstraat,1920s,"The image shows a black-and-white photo of a busy street scene, featuring people in early 20th-century attire walking through an elaborate temporary archway structure adorned with vertical banners or flags. The street is lined with brick and stone buildings, with shop signs visible. The architecture and clothing suggest a European city, and the overall composition is consistent with historical postcards.","NIJMEGEN, HOUTSTRAAT","The word 'NIJMEGEN' clearly identifies the city as Nijmegen in the Netherlands. 'HOUTSTRAAT' refers to a specific street in Nijmegen. The style of clothing and architecture, as well as the black-and-white photo and the modernist temporary arch, indicate the postcard is likely from the 1920s. This fits with the tradition of producing commemorative postcards for local events or jubilees during that era in Europe.",,bb1e10fb-5835-534c-8610-26b895032c1e,,,,,,,,,,,,,
1e2f9d4d-0420-50be-817d-588363a504d7.jpg,Sweden,Trollhättan,Kungsgatan (Folkets Hus),1940s,"Black-and-white street scene showing a tree-lined boulevard with a wide pedestrian and cycling path on the left and a cobblestone street bordered by multi‑story brick buildings with shopfronts and awnings on the right. Signs for a café and other businesses are visible. People ride bicycles and walk along the street. Printed caption text at the bottom left identifies the location as Trollhättan, Folkets Hus, Kungsgatan. At the bottom right is a printer/photographer credit.","Trollhättan. Folkets Hus, Kungsgatan.
ÄKTA FOTOGRAFI
Foto & Ensamrätt.
A/B Almquist & Cöster, Hälsingborg.","The printed caption explicitly names ‘Trollhättan�?and ‘Kungsgatan�? which is a main street in the Swedish city Trollhättan. The printer name includes ‘Hälsingborg�?(Helsingborg), another Swedish city, confirming Sweden as the country. The architecture, street layout, and bicycles match mid�?0th‑century Scandinavian urban scenes. The photo style, typography, and the company A/B Almquist & Cöster suggest a 1930s�?950s era; the cars and bicycles look consistent with the 1940s, so that decade is a reasonable estimate. The image is clearly formatted like a photographic postcard with border, caption, and publisher imprint. The landmark is a central street rather than a specific monument, so it is categorized as a public urban street/space under 'public_square' and 'others'.",,00efadd4-bf27-50a9-9188-94a1c33f2ef0,,,,,,,,,,,,,
1e318b5f-f19a-5172-a004-3e3f036a8970.jpg,Germany,Aitern,Aitern im Schwarzwald am Fusse des Belchen,1970s,"A multi-view color postcard with a yellow border featuring several photographs of a rural mountainous region. The central image shows a traditional large wooden house with a steep roof, decorated with flowers, and a woman and child in traditional dress standing in front. Surrounding images show rolling green hills, small villages, a public swimming pool, and countryside scenes, all labeled with German captions. The title at the bottom highlights the town of Aitern in the Black Forest at the foot of the Belchen mountain.","Holzinshaus
Rollsbach
Schwimmbad Schönau
Trachten aus Aitern
Ortsmitte
Siedlung
Belchen
Aitern im Schwarzwald am Fusse des Belchen","The word 'Postkarte' is not explicit, but the layout with a collage of labeled views, a large town name, and decorative border is typical for tourist postcards. The German language text and reference to 'Schwarzwald' (Black Forest) and 'am Fusse des Belchen' clearly place it in southwestern Germany. Aitern is a small municipality in the Black Forest near the Belchen mountain, which is a well-known regional peak and thus the most identifiable landmark. The color tones, printing style, and design suggest a production date around the 1970s rather than earlier black‑and‑white or later glossy digital postcards.",,9f12102a-6207-5537-bf6f-62e11da50d54,,,,,,,,,,,,,
1e31a211-3e3c-53a6-894d-60b6c78b74c3.jpg,Netherlands,Nijmegen,Concertgebouw De Vereeniging,1930s,"A black‑and‑white postcard view of a tree‑lined square with a large brick concert hall in the background. The building has tall vertical windows, decorative brickwork and a central tower‑like section. In front are young trees, a low fence, and what appears to be a terrace or garden area. Printed caption text runs along the bottom edge of the image.","Nijmegen, Concertgebouw ""De Vereniging""","The caption explicitly mentions Nijmegen and the concert hall 'De Vereniging' (modern spelling: Concertgebouw De Vereeniging), a well-known concert venue in Nijmegen, Netherlands. The architecture and printing style of the black‑and‑white photograph, along with the old spelling convention for the name, are consistent with interwar European postcards, suggesting the 1930s period.","Concertgebouw De Vereeniging (https://www.wikidata.org/wiki/Q2183522), Keizer Karelplein (https://www.wikidata.org/wiki/Q13742576)",2bfc9840-ba9c-513a-a9c1-757c7863900b,,,,,,,,,,,,,
1e3251ed-03b3-5c8c-ad2e-0cbdf8d07594.jpg,Germany,Elsterwerda,Stadtpark Elsterwerda,1910s,"Monochrome vintage view of a wooded park with a rustic wooden bridge over a small pond and a round gazebo or pavilion raised on a rocky mound among tall trees. Two women in long light-colored dresses and large hats stand on the bridge, while another person sits in the gazebo. The style suggests an early-20th‑century landscaped garden scene.",,"The image has the composition, printing style, and tone of an early photographic postcard, including a soft-focus black‑and‑white halftone typical of circa 1900�?915 commercial cards. The clothing of the women—full-length dresses with large brimmed hats—matches Edwardian fashion from the 1900s�?910s. The scene is a landscaped public or estate park featuring a gazebo and ornamental bridge; there are no legible signs, inscriptions, or uniquely identifiable monuments to link it confidently to a specific country, city, or named park, so those fields must remain uncertain.",,a6bea66c-4c75-519b-9e64-1b19c2c3bc73,,,,,,,,,,,,,
1e33522f-9d39-5f37-8ca1-d6d585583ae4.jpg,Greece,Aigio,,1900s,"Vintage black‑and‑white postcard showing a stone embankment or bridge leading into a small town with low houses and hills in the background. A horse‑drawn carriage moves along the road, and several people are visible further down the street. Greek and French captions are printed under the image, and there is handwritten Greek text and a dated postmark on the lower part of the card.","ΑΙΓΙΑΛΙΚΟΝ    Grèce    ΑΝΑΤΟΛΙΚΗ ΑΠΟΨΙΣ
(plus handwritten Greek message and a date that appears as 7/1/1903, partly over a circular postmark)","The card explicitly prints “Grèce�?(French for Greece) and Greek captions. The left caption reads “ΑΙΓΙΑΛΙΚΟΝ�? an older form referring to Aigio (historically Aigialos/Aigialikon) in Greece, and the right caption “ΑΝΑΤΟΛΙΚ�?ΑΠΟΨΙΣ�?means “eastern view,�?suggesting a general town view rather than a specific monument. The handwriting and style, plus a legible date around 1903 in the message/postmark, indicate an early 20th‑century postcard, hence the 1900s period.",,75093735-12f3-5e74-b8e6-fa6c3f92359a,,,,,,,,,,,,,
1e37ff41-2101-5890-b778-87ebbf0ca296.jpg,Italy,Trento,"Piazza Duomo, Fountain of Neptune, Trento Cathedral (Cattedrale di San Vigilio)",1950s,"This black-and-white postcard shows a historic European square with a prominent stone cathedral featuring a rose window and a Romanesque dome. In the foreground, there is a large ornately sculpted fountain topped with a statue of Neptune holding a trident. Behind the fountain, there are medieval-style stone buildings, one with battlements and a tower. Snow-capped mountains are visible in the background.",,"The combination of the Romanesque cathedral, the Fountain of Neptune, and the distinctive crenellated medieval architecture clearly point to Piazza Duomo in Trento, Italy. The style of cars and the black-and-white photo indicate a probable date from the 1950s. The cathedral depicted is the Cattedrale di San Vigilio, and the fountain is a well-known monument in the square.","Fontana del Nettuno (https://www.wikidata.org/wiki/Q1977844), Trento Cathedral (Cattedrale di San Vigilio) (https://www.wikidata.org/wiki/Q621060), Piazza Duomo (https://www.wikidata.org/wiki/Q83171987)",b58dc112-d711-593c-8c78-a3c90d857ab6,,,,,,,,,,,,,
1e3833e3-918a-5999-8b04-c8afa112f06f.jpg,Netherlands,Nijmegen,Concertgebouw De Vereeniging,1910s,"Sepia-toned historic postcard-style photograph of a large early�?0th‑century institutional building behind an iron fence and brick gateposts. The architecture is monumental with tall vertical windows, a tower-like corner block, arched windows on a side wing, and a small domed turret to the left. Leafless trees line the street in the foreground. A signboard stands near the entrance gate.",,"The sepia halftone style and card format strongly indicate an early 20th‑century postcard. The building shows German Jugendstil/early modernist features typical of around 1900�?920: vertical window bands, simple geometric decoration, and a domed side tower. The composition and fence layout closely resemble historic views of the Technische Hochschule Darmstadt complex in Germany, particularly its main building on Hochschulstraße, which fits the institutional character (a university/government facility). The clothing, vehicles, and street elements are absent or minimal, consistent with a pre�?920s academic campus postcard.",,be8dce49-034f-5341-8324-b607fcd2d215,,,,,,,,,,,,,
1e38a5a2-1ce6-5aa6-8941-b458a060d43d.jpg,Germany,Coswig,Alte Kirche Coswig,1930s,"Black-and-white postcard photograph showing a historic church with a square tower, clock, and steep tiled roof, surrounded by trees and a low wall with a gated entrance in the foreground. Printed caption text appears along the bottom border.","Alte Kirche - Coswig, Bez. Dresden","The image layout, border, and printed caption style match early–mid 20th-century postcards. The German caption explicitly names the place: 'Alte Kirche - Coswig, Bez. Dresden' (Old Church �?Coswig, district of Dresden), indicating a church in Coswig near Dresden, Germany. Architectural style and printing quality suggest production around the 1930s.",Alte Kirche (https://www.wikidata.org/wiki/Q49371312),ce9319ef-3be1-5fd6-91a1-61c3ac404d4f,,,,,,,,,,,,,
1e3e81be-a549-595c-9689-7d2d57e3e64c.jpg,Germany,Bad Neuenahr-Ahrweiler,Hotel & Restaurant Hohenzollern (Ahrweiler),1950s,"The postcard features three black-and-white photographic images. The top-left image shows 'Gasthof Hohenzollern', a guesthouse nestled among trees and greenery. The top-right photo shows a terrace with several tables and chairs, overlooking a scenic landscape of hills and fields. The bottom photo offers a panoramic view from the terrace of the Gasthof Hohenzollern, with a church steeple and a town in the valley below, surrounded by hills and vineyards. The overall feel is pastoral and idyllic, characteristic of the German countryside.","GASTHOF HOHENZOLLERN
Bei Tanz, Wein, kaffee und kuchen immer Gasthof hohezollern aufsuchen
Gasthof Hohenzollern
Blick v. Gasthof Hohenzollern
Blick vom Gasthof Hohenzollern auf Ahrweiler, Neuenahr u. Rheinberge","The language and style of the text on the postcard are clearly German. 'Gasthof Hohenzollern' refers to a guesthouse named after the Hohenzollern dynasty, and the views are described as looking over Ahrweiler and Neuenahr, which are towns in the Rhineland-Palatinate region of Germany. The furniture and photographic style indicate the 1950s. The main landmark is the guesthouse itself, rather than a famous monument, religious, or governmental building.",,d0ba4b26-dbf8-5996-97dc-83ad3d99e26c,,,,,,,,,,,,,
1e3f5e64-befd-5371-b86b-0a40a6a97d41.jpg,Egypt,Ismailia,Ismailia Railway Station,1910s,"A vintage sepia-toned postcard showing a railway station building labeled 'STATION D'ISMAILIA'. The structure has three stories with arched ground-floor entrances and shuttered windows above. In front of the station stand several people in early 20th‑century attire, along with a horse‑drawn carriage to the right. The lower margin of the postcard bears a printed caption identifying the place and an attribution.","STATION D'ISMAILIA
1 ISMAÏLIA. �?The Station. �?LL.
www.elia.org.gr","The card explicitly labels the building as 'STATION D’ISMAILIA' and the caption reads 'ISMAÏLIA. �?The Station.' Ismailia is a city in Egypt on the Suez Canal. The architecture, horse‑drawn carriage, and dress style suggest an early 20th‑century date, likely 1900s�?910s; I chose the 1910s as a representative decade. The web address is a modern archival stamp and not part of the original card. The landmark depicted is a railway station, which best fits under the generic 'others' category among the given options.",,e6937210-d35a-57b7-957f-94d677f8de4b,,,,,,,,,,,,,
1e4328c5-2c2e-5ae7-952c-aeafac133bc9.jpg,Germany,Naumburg (Saale),Kaserne des 2. Thüringischen Feldartillerie-Regiments Nr. 55,1910s,"Colorized historical postcard view of a long row of ornate brick and stucco barracks buildings with red roofs, behind a fence and trees along a broad street with telegraph poles. German text identifies the location as a military barracks in Naumburg an der Saale.","Naumburg a. Sa.
Kaserne des 2. Thür. Feld-Art.-Regt. No. 55.
1. Abteilung.","The image has the typical layout and colorization of early 20th‑century German postcards and includes printed captions. The text explicitly names Naumburg a. Sa. (Naumburg an der Saale) and a barracks of the 2nd Thuringian Field Artillery Regiment No. 55, a Prussian/German army unit stationed in Naumburg before and during World War I. The architecture, telegraph poles, and absence of cars further suggest a pre‑WWI or World War I era, approximately the 1910s.",,59fafa4d-6f7e-5911-b4e5-34c8ad132a1d,,,,,,,,,,,,,
1e4776db-1de7-5c3f-bfdb-cffecbcf02b5.jpg,Bulgaria,Varna,"Varna Drama Theatre (Драматичен театър ""Стоян Бъчваров"") and Cathedral of the Assumption of the Virgin (Катедрален храм ""Успение Богородично"")",1940s,"Sepia-toned aerial or elevated view of a large urban square with wide streets and early-to-mid 20th‑century cars and pedestrians. On the left is a multi‑storey block, in the center a prominent theater‑like building with an ornate façade, and in the background a street leads uphill toward a church with several onion domes and a bell tower. The right margin contains a short printed caption in Russian in the upper corner.",Гр. СТАЛИН,"The printed caption is in Russian and reads approximately “Gr. Stalin�? where “Gr.�?is a common Russian abbreviation for ‘city�?(gorod). During the Stalin era, several cities were renamed in his honor; the architecture and hilly layout with an Orthodox church featuring onion domes strongly suggest the Caucasus rather than central Russia. The combination of Russian text, mountainous backdrop, and Stalin-era city name points most plausibly to Staliniri, the Soviet-era name of Tskhinvali in the Georgian SSR. The cars and people’s clothing, along with the printing style and sepia tone, fit a 1940s (late pre�?or early post‑war) postcard. The view clearly centers on a major town square with mixed civic/commercial buildings and a church, hence the landmark types noted.",Dormition of the Mother of God Cathedral (https://www.wikidata.org/wiki/Q2655068),d55ca637-1917-50b6-b212-3c15a5cf0a7d,,,,,,,,,,,,,
1e49f892-8e96-5682-8872-acb92f81f089.jpg,Serbia,Zemun,Kralja Petra Street,1920s,"A black-and-white vintage postcard showing a lively street lined with historic buildings and shops. People are walking along the sidewalks, and a cyclist can be seen on the cobblestone street. Visible shop signs and architectural styles suggest a Central or Eastern European city. The text in Cyrillic and Latin scripts is present at the bottom right corner.","Земун �?Краља Петра улица
Zemun �?Strato de la Reĝo Petro","The text gives the name 'Zemun' and 'Kralja Petra' (King Peter Street) in both Serbian Cyrillic and Latin alphabets, as well as Esperanto. Zemun is a historical city now part of Belgrade, Serbia. The architecture and street scene, along with the style of the postcard, suggest the 1920s or early 20th century.",,6e379346-c3f0-5511-85de-8cef2e81677d,,,,,,,,,,,,,
1e510565-ec33-51a5-a431-0d08c1f82590.jpg,Germany,Altenberg,"Oberbärenburg, Osterzgebirge",1930s,"Black‑and‑white postcard view of a small hillside village with scattered traditional houses bordered by forest. The buildings have steep gabled roofs, typical of Central European mountain architecture. In the foreground are meadows and fields; in the background is a dense coniferous forest under a cloudy sky. The caption in German is printed along the bottom margin.","Oberbärenburg �?Osterzgebirge, ca 750 m. ü. N. N.","The German caption names Oberbärenburg in the Ore Mountains (Osterzgebirge) at about 750 m above sea level. Oberbärenburg is a district of Altenberg in Saxony, Germany. The architectural style and printing style of the card—monochrome photograph, white border with deckle edge, and cursive caption—fit Central European tourist postcards from roughly the 1920s�?930s, with the 1930s being a plausible estimate.",,375f21f4-98fa-5e03-b07a-a11fc6c41149,,,,,,,,,,,,,
1e5381e5-0299-5d20-953f-416e5ca5d275.jpg,Germany,Celle,"Altstadt (Old Town), Celle",1960s,"Color postcard showing a narrow cobblestone street lined with closely packed, brightly painted half-timbered houses with steep red-tiled roofs. Hanging shop signs project from the façades; one sign shows a clock. In the distance a church tower with a spire rises above the roofs. The image has a white border and slightly deckled edges typical of mid�?0th‑century postcards.","Eckental
KUNST UND TAGES","The architecture is classic German Fachwerk (half-timbered) with red tile roofs and a central church spire, strongly suggesting a historic town center in Germany. The visible German-language signage (“KUNST UND TAGES�? further supports this. The printing style, colorization, and deckled border are characteristic of mass-produced tourist postcards from roughly the 1950s�?960s. However, the exact town or street and any iconic monument name are not clearly legible, so those fields remain null.",,9cfd73f4-5442-5a99-9316-df8341989c45,,,,,,,,,,,,,
1e543d4d-9d34-5352-9ec9-f11b3db01ac9.jpg,Estonia,Narva,,1920s,"A vintage blue‑toned postcard announcing a festival or celebration. It shows an illustrated cavalry soldier on horseback holding a flag and a rifle, with a stylized background landscape and large curved title text above him. The date 22., 23. ja 24. juunil 1924 is printed prominently at the top, and additional text in Estonian appears at the bottom, commemorating heroes of the War of Independence on the eastern front.","22. 23. ja 24. juunil 1924
NARVA LAULUPIDU
VABADUSSÕJA IDA VAE RINNA KANGELASTE MÄLESTAMISEKS","The language on the card is Estonian (words like ""juunil"", ""laulupidu"", ""vabadussõja"", ""kangelaste mälestamiseks""). ""Narva"" in the title indicates the city of Narva, Estonia. The dates explicitly state 1924, placing it in the 1920s. The text advertises the Narva Song Festival (Narva Laulupidu) dedicated to commemorating heroes of the War of Independence on the eastern front. The design and printed text format clearly match a commemorative postcard or event card rather than depicting a specific monument or street.",,62e842d6-60bb-5a29-95cd-56142a6f3139,,,,,,,,,,,,,
1e576963-c0cd-5a72-a6be-8245ff7aa460.jpg,Germany,Rabenau,,1900s,"Sepia-toned historic postcard showing a panoramic view of a town with a large industrial complex in the foreground, including a long multi‑storey factory building and a tall smokestack. Behind it lie numerous houses and larger town buildings on gently rolling hills. Dense trees and a rocky, wooded slope occupy the lower part of the image. The caption at the bottom left reads ""Rabenau."" and the publisher line at the bottom reads ""Brück & Sohn, Meissen 1905"" with the number 5874.","Rabenau.
5874 Brück & Sohn, Meissen 1905","The word 'Rabenau.' is printed as the title, indicating the town depicted. The publisher credit 'Brück & Sohn, Meissen 1905' is in German, and Meissen is a city in Saxony, Germany, strongly suggesting the postcard was produced in Germany and shows the German town of Rabenau. The industrial buildings and dress of the townscape, along with the explicit date '1905', place the postcard in the early 1900s. No single globally famous monument or clearly labeled street is visible, so those fields remain null. The main subject is an industrial townscape rather than one of the specified landmark types, so 'others' best fits.",,580ea773-cd5e-5bf5-bb76-656b109e2854,,,,,,,,,,,,,
1e5bd62c-d15a-5d16-b5ae-4f0aa8bee82e.jpg,Angola,Luanda,Fortaleza de São Francisco do Penedo,1910s,"A vintage black‑and‑white postcard view of a coastal fortress complex on a low shoreline. The fort projects into the sea with high walls and a flagpole, and several long, low buildings and a larger house-like structure with a veranda stand inside or beside the walls. The scene is quiet, with no people visible, and the sea stretches out to the left. Printed captions in Portuguese appear at the top, identifying the location and the fort.","Loanda
Fortaleza do Penêdo e Caza de Reclusão Militar","The printed word 'Loanda' is the older Portuguese spelling for Luanda, the capital of Angola, indicating a colonial-era postcard. The Portuguese caption 'Fortaleza do Penêdo e Caza de Reclusão Militar' identifies a coastal fort and military prison; in Luanda this corresponds to the historic fortress complex commonly known as Fortaleza de São Miguel/fort at Penedo. The sepia tone, typography, and composition suggest an early 20th‑century postcard, likely around the 1910s during Portuguese colonial rule.",,178d984f-0ff6-5972-a428-3ffb6daed079,,,,,,,,,,,,,
1e5c4abd-a2d9-5722-afd1-d708b0f94658.jpg,Latvia,Talsi,Kārļa Mīlenbaha iela 30,1920s,"A sepia-toned image depicting a symmetrical, classical-style building with a columned entrance and a gabled roof. The building is fronted by a small garden or lawn. The text on the image includes the words 'TALSI. Valsts Ģimnazija.' suggesting the function of the building as a state gymnasium (high school) in Talsi.",TALSI. Valsts Ģimnazija.,"The image is formatted and dated like a historical postcard. The text is in Latvian, identifying both the city (Talsi) and type of building (state gymnasium). The architecture and style suggest an early 20th-century period, likely the 1920s. The building is not a widely-known monument, but its identification in the text allows pinpointing the country and city.",,dcf10bfe-295c-583c-bfd3-cfb82f6f94a3,,,,,,,,,,,,,
1e5e9511-6d6d-51fc-b176-943f5abf49eb.jpg,Germany,Oederan,Stadtkirche Oederan,1910s,"Sepia-toned panoramic view over a European town with dense tiled rooftops, church towers, narrow streets and industrial chimneys in the distance. The landscape shows rolling hills and fields beyond the town. In the upper left corner, printed text reads ""Oederan i. Sa."", indicating the scene's location.",Oederan i. Sa.,"The printed caption 'Oederan i. Sa.' clearly names Oederan, a town in Saxony, Germany; 'i. Sa.' abbreviates 'in Sachsen'. The architecture—church tower, dense historic roofs, and factory chimneys—fits an early 20th‑century German small industrial town. The sepia tone, printing style, and absence of modern features such as cars suggest a postcard produced roughly in the 1910s.",,ee4a45a1-c6b1-5f69-b4a6-0195b56b3aeb,,,,,,,,,,,,,
1e603654-b33c-544d-a1bb-5f9e86aa2371.jpg,Germany,Meissen,,1900s,"Vintage monochrome military postcard showing a team of German (Saxon) soldiers in field uniforms riding a horse‑drawn machine‑gun wagon across open countryside. Several horses pull two large, spoked-wheel carriages with seated soldiers and equipment. Printed German text appears along the bottom, with additional cursive handwriting over the lower margin.","1. Königl. Sächs. Maschinengewehr Abtlg. Nr. 12.
6300 Brück & Sohn., Meissen 1905","The printed German text identifies a Saxon royal machine-gun detachment (�?. Königl. Sächs. Maschinengewehr Abtlg. Nr. 12�? and the publisher “Brück & Sohn., Meissen 1905,�?a well-known German postcard publisher from Meissen, Germany. The style, uniforms, and horse-drawn artillery correspond to early 20th‑century Imperial German military imagery, circa 1905, indicating a German origin associated with the city of Meissen.",,3650b5cf-2d9a-55f5-baa2-a3d01b0a207d,,,,,,,,,,,,,
